# time rdo00 rdo01 rdo10 rdo11
4.134137333518211 (0.5+0j) (0.4998970062002605+4.7081587070421104e-05j) (0.4998970062002605-4.7081587070421104e-05j) (0.5+0j)
8.268274667036422 (0.5+0j) (0.49958838992187493+9.410504242423221e-05j) (0.49958838992187493-9.41050424242319e-05j) (0.5+0j)
12.402412000554634 (0.5+0j) (0.499075008064573+0.0001410125108440026j) (0.499075008064573-0.00014101251084400226j) (0.5+0j)
16.536549334072845 (0.5+0j) (0.49835812643700544+0.0001877466139739604j) (0.49835812643700544-0.00018774661397395984j) (0.5+0j)
20.670686667591056 (0.5+0j) (0.4974394141981893+0.00023425064025956317j) (0.4974394141981893-0.00023425064025956176j) (0.5+0j)
24.804824001109267 (0.5+0j) (0.4963209367358017+0.00028046873086269184j) (0.4963209367358017-0.000280468730862691j) (0.5+0j)
28.93896133462748 (0.5+0j) (0.49500514702920306+0.00032634606055352024j) (0.49500514702920306-0.00032634606055351965j) (0.5+0j)
33.07309866814569 (0.5+0j) (0.4934948755544398+0.0003718290126231983j) (0.4934948755544398-0.0003718290126231976j) (0.5+0j)
37.2072360016639 (0.5+0j) (0.49179331879724175+0.0004168653469121235j) (0.49179331879724175-0.0004168653469121222j) (0.5+0j)
41.34137333518211 (0.5+0j) (0.48990402644824504+0.0004614043601059982j) (0.48990402644824504-0.00046140436010599727j) (0.5+0j)
45.47551066870032 (0.5+0j) (0.4878308873621754+0.0005053970375155871j) (0.4878308873621754-0.0005053970375155865j) (0.5+0j)
49.609648002218535 (0.5+0j) (0.48557811436947884+0.0005487961956253228j) (0.48557811436947884-0.0005487961956253212j) (0.5+0j)
53.743785335736746 (0.5+0j) (0.4831502280348636+0.000591556614769849j) (0.4831502280348636-0.0005915566147698452j) (0.5+0j)
57.87792266925496 (0.5+0j) (0.4805520394623499+0.0006336351613756016j) (0.4805520394623499-0.0006336351613755955j) (0.5+0j)
62.01206000277317 (0.5+0j) (0.47778863225071133+0.0006749908992855465j) (0.47778863225071133-0.0006749908992855406j) (0.5+0j)
66.14619733629138 (0.5+0j) (0.4748653437065674+0.000715585189768599j) (0.4748653437065679-0.00071558518976859j) (0.5+0j)
70.28033466980959 (0.5+0j) (0.47178774542487406+0.0007553817799000303j) (0.4717877454248752-0.0007553817799000196j) (0.5+0j)
74.4144720033278 (0.5+0j) (0.468561623348164+0.0007943468790845849j) (0.46856162334816587-0.000794346879084573j) (0.5+0j)
78.54860933684601 (0.5+0j) (0.46519295741658273+0.0008324492235791446j) (0.46519295741658534-0.0008324492235791336j) (0.5+0j)
82.68274667036422 (0.5+0j) (0.46168790092059564+0.0008696601289559325j) (0.4616879009205995-0.0008696601289559226j) (0.5+0j)
86.81688400388244 (0.5+0j) (0.4580527596672246+0.0009059535305294352j) (0.45805275966723047-0.0009059535305294207j) (0.5+0j)
90.95102133740065 (0.5+0j) (0.45429397106884395+0.000941306011850052j) (0.45429397106884983-0.0009413060118500379j) (0.5+0j)
95.08515867091886 (0.5+0j) (0.4504180832609523+0.0009756968214439498j) (0.45041808326095945-0.0009756968214439418j) (0.5+0j)
99.21929600443707 (0.5+0j) (0.4464317343520378+0.0010091078780512374j) (0.4464317343520465-0.0010091078780512354j) (0.5+0j)
103.35343333795528 (0.5+0j) (0.4423416319046232+0.0010415237646829167j) (0.4423416319046313-0.0010415237646829258j) (0.5+0j)
107.48757067147349 (0.5+0j) (0.4381545327420161+0.00107293171188042j) (0.43815453274202265-0.0010729317118804368j) (0.5+0j)
111.6217080049917 (0.5+0j) (0.4338772231700993+0.0011033215706196652j) (0.43387722317010724-0.001103321570619684j) (0.5+0j)
115.75584533850991 (0.5+0j) (0.42951649969792094+0.0011326857753540874j) (0.4295164996979288-0.0011326857753541071j) (0.5+0j)
119.88998267202813 (0.5+0j) (0.42507915033473515+0.0011610192977376428j) (0.42507915033474236-0.0011610192977376651j) (0.5+0j)
124.02412000554634 (0.5+0j) (0.4205719365348468+0.001188319591609303j) (0.420571936534854-0.0011883195916093305j) (0.5+0j)
128.15825733906456 (0.5+0j) (0.4160015758548881+0.0012145865298549198j) (0.41600157585489606-0.0012145865298549504j) (0.5+0j)
132.29239467258276 (0.5+0j) (0.41137472538136094+0.0012398223337903571j) (0.4113747253813666-0.0012398223337903927j) (0.5+0j)
136.42653200610096 (0.5+0j) (0.40669796597926927+0.0012640314957316837j) (0.4066979659792749-0.0012640314957317175j) (0.5+0j)
140.56066933961918 (0.5+0j) (0.4019777874056311+0.0012872206954339493j) (0.40197778740563506-0.001287220695433987j) (0.5+0j)
144.6948066731374 (0.5+0j) (0.3972205743246087+0.001309398711089859j) (0.3972205743246127-0.0013093987110898981j) (0.5+0j)
148.8289440066556 (0.5+0j) (0.39243259325400903+0.0013305763255836087j) (0.39243259325401375-0.0013305763255836505j) (0.5+0j)
152.9630813401738 (0.5+0j) (0.387619980466064+0.001350766228693688j) (0.3876199804660695-0.001350766228693736j) (0.5+0j)
157.09721867369203 (0.5+0j) (0.38278873085864473+0.0013699829159316813j) (0.38278873085865184-0.0013699829159317175j) (0.5+0j)
161.23135600721025 (0.5+0j) (0.37794468780665497+0.001388242584692496j) (0.37794468780666207-0.001388242584692546j) (0.5+0j)
165.36549334072845 (0.5+0j) (0.3730935339970799+0.0014055630283755132j) (0.373093533997087-0.0014055630283755604j) (0.5+0j)
169.49963067424665 (0.5+0j) (0.3682407832452718+0.0014219635291155754j) (0.36824078324527715-0.001421963529115624j) (0.5+0j)
173.63376800776487 (0.5+0j) (0.36339177328447797+0.0014374647497392623j) (0.3633917732844824-0.001437464749739308j) (0.5+0j)
177.7679053412831 (0.5+0j) (0.3585516595153616+0.001452088625534288j) (0.3585516595153669-0.0014520886255343392j) (0.5+0j)
181.9020426748013 (0.5+0j) (0.3537254096974618+0.0014658582563902979j) (0.35372540969746613-0.0014658582563903454j) (0.5+0j)
186.0361800083195 (0.5+0j) (0.34891779956006735+0.00147879779983633j) (0.3489177995600725-0.0014787977998363666j) (0.5+0j)
190.17031734183772 (0.5+0j) (0.3441334093060031+0.0014909323654664045j) (0.34413340930600816-0.0014909323654664314j) (0.5+0j)
194.30445467535594 (0.5+0j) (0.3393766209781305+0.001502287911208313j) (0.3393766209781363-0.0015022879112083325j) (0.5+0j)
198.43859200887414 (0.5+0j) (0.3346516166552894+0.0015128911418537914j) (0.3346516166552961-0.0015128911418538034j) (0.5+0j)
202.57272934239234 (0.5+0j) (0.32996237744156603+0.0015227694102303187j) (0.3299623774415734-0.001522769410230309j) (0.5+0j)
206.70686667591056 (0.5+0j) (0.32531268321046203+0.0015319506213565069j) (0.3253126832104693-0.0015319506213564676j) (0.5+0j)
210.8410040094288 (0.5+0j) (0.3207061130635769+0.0015404631398843141j) (0.32070611306358404-0.001540463139884245j) (0.5+0j)
214.97514134294698 (0.5+0j) (0.3161460464619879+0.001548335701096376j) (0.31614604646199496-0.0015483357010962764j) (0.5+0j)
219.10927867646518 (0.5+0j) (0.3116356649871261+0.0015555973256842727j) (0.3116356649871331-0.0015555973256841423j) (0.5+0j)
223.2434160099834 (0.5+0j) (0.30717795468733533+0.0015622772385001306j) (0.3071779546873422-0.001562277238499969j) (0.5+0j)
227.37755334350163 (0.5+0j) (0.3027757089658182+0.001568404791438538j) (0.302775708965825-0.0015684047914383457j) (0.5+0j)
