# time rdo00 rdo01 rdo10 rdo11
4.134137333518211 (0.5+0j) (0.49989699938727167+4.7081596969334505e-05j) (0.49989699938727167-4.7081596969334505e-05j) (0.5+0j)
8.268274667036422 (0.5+0j) (0.4995884381890803+9.410507292857798e-05j) (0.4995884381890803-9.410507292857797e-05j) (0.5+0j)
12.402412000554634 (0.5+0j) (0.49907528429056125+0.00014101262152052855j) (0.49907528429056125-0.00014101262152052852j) (0.5+0j)
16.536549334072845 (0.5+0j) (0.4983589092537064+0.00018774695308890665j) (0.4983589092537064-0.00018774695308890663j) (0.5+0j)
20.670686667591056 (0.5+0j) (0.49744108218575456+0.00023425148187560896j) (0.49744108218575456-0.00023425148187560893j) (0.5+0j)
24.804824001109267 (0.5+0j) (0.4963239620919482+0.00028047050889715j) (0.4963239620919482-0.00028047050889715j) (0.5+0j)
28.93896133462748 (0.5+0j) (0.49501008876403674+0.0003263493995356982j) (0.49501008876403674-0.0003263493995356982j) (0.5+0j)
33.07309866814569 (0.5+0j) (0.49350237226469734+0.0003718347549253212j) (0.49350237226469734-0.0003718347549253212j) (0.5+0j)
37.2072360016639 (0.5+0j) (0.4918040810762785+0.00041687457626615184j) (0.4918040810762785-0.0004168745762661519j) (0.5+0j)
41.34137333518211 (0.5+0j) (0.4899188289898927+0.0004614184212576311j) (0.4899188289898927-0.00046141842125763116j) (0.5+0j)
45.47551066870032 (0.5+0j) (0.48785056081782313+0.0005054175519061935j) (0.48785056081782313-0.0005054175519061935j) (0.5+0j)
49.609648002218535 (0.5+0j) (0.48560353701841785+0.0005488250730320858j) (0.48560353701841785-0.0005488250730320858j) (0.5+0j)
53.743785335736746 (0.5+0j) (0.483182317328069+0.0005915960608737215j) (0.483182317328069-0.0005915960608737215j) (0.5+0j)
57.87792266925496 (0.5+0j) (0.4805917434994772+0.0006336876812652806j) (0.4805917434994772-0.0006336876812652806j) (0.5+0j)
62.01206000277317 (0.5+0j) (0.47783692124915206+0.000675059296943339j) (0.47783692124915206-0.0006750592969433392j) (0.5+0j)
66.14619733629138 (0.5+0j) (0.4749232015199846+0.000715672563620292j) (0.4749232015199846-0.0007156725636202922j) (0.5+0j)
