# time rdo00 rdo01 rdo10 rdo11
4.134137333518211 (0.5+0j) (0.4998969843310478+4.7081595470958965e-05j) (0.4998969843310478-4.708159547095897e-05j) (0.5+0j)
8.268274667036422 (0.5+0j) (0.4995883176719674+9.410505009028353e-05j) (0.4995883176719674-9.410505009028353e-05j) (0.5+0j)
12.402412000554634 (0.5+0j) (0.4990748779478657+0.00014101250654003316j) (0.4990748779478657-0.00014101250654003313j) (0.5+0j)
16.536549334072845 (0.5+0j) (0.49835794768508596+0.0001877465906612461j) (0.49835794768508596-0.00018774659066124607j) (0.5+0j)
20.670686667591056 (0.5+0j) (0.4974392083526228+0.00023425059930922044j) (0.4974392083526228-0.00023425059930922042j) (0.5+0j)
24.804824001109267 (0.5+0j) (0.4963207331760128+0.00028046868414848447j) (0.4963207331760128-0.0002804686841484845j) (0.5+0j)
28.93896133462748 (0.5+0j) (0.49500497847167974+0.00032634603041279325j) (0.49500497847167974-0.0003263460304127933j) (0.5+0j)
33.07309866814569 (0.5+0j) (0.4934947735586657+0.00037182902969826545j) (0.4934947735586657-0.0003718290296982655j) (0.5+0j)
37.2072360016639 (0.5+0j) (0.4917933093131165+0.00041686544590760575j) (0.4917933093131165-0.0004168654459076058j) (0.5+0j)
41.34137333518211 (0.5+0j) (0.4899041254387317+0.0004614045735197246j) (0.4899041254387317-0.00046140457351972466j) (0.5+0j)
45.47551066870032 (0.5+0j) (0.4878310965335834+0.000505397387421414j) (0.4878310965335834-0.0005053973874214141j) (0.5+0j)
49.609648002218535 (0.5+0j) (0.48557841704018906+0.0005487966836054346j) (0.48557841704018906-0.0005487966836054347j) (0.5+0j)
53.743785335736746 (0.5+0j) (0.4831505851714403+0.0005915572101117111j) (0.4831505851714403-0.0005915572101117113j) (0.5+0j)
57.87792266925496 (0.5+0j) (0.48055238590990496+0.0006336357876645353j) (0.48055238590990496-0.0006336357876645355j) (0.5+0j)
62.01206000277317 (0.5+0j) (0.47778887318208446+0.0006749914195379327j) (0.47778887318208446-0.0006749914195379329j) (0.5+0j)
66.14619733629138 (0.5+0j) (0.47486535131242635+0.0007155853902627845j) (0.47486535131242635-0.0007155853902627846j) (0.5+0j)
70.28033466980959 (0.5+0j) (0.47178735586422615+0.0007553813528720867j) (0.47178735586422615-0.0007553813528720867j) (0.5+0j)
74.4144720033278 (0.5+0j) (0.46856063397602826+0.000794345404464027j) (0.46856063397602826-0.000794345404464027j) (0.5+0j)
78.54860933684601 (0.5+0j) (0.46519112430274073+0.0008324461499455475j) (0.46519112430274073-0.0008324461499455474j) (0.5+0j)
82.68274667036422 (0.5+0j) (0.4616849366704514+0.0008696547539009798j) (0.4616849366704514-0.0008696547539009796j) (0.5+0j)
86.81688400388244 (0.5+0j) (0.45804833155288327+0.0009059449806104293j) (0.45804833155288327-0.0009059449806104289j) (0.5+0j)
90.95102133740065 (0.5+0j) (0.4542876994756034+0.0009412932223201609j) (0.4542876994756034-0.0009412932223201604j) (0.5+0j)
95.08515867091886 (0.5+0j) (0.4504095404515291+0.0009756785159416571j) (0.4504095404515291-0.0009756785159416565j) (0.5+0j)
99.21929600443707 (0.5+0j) (0.44642044354801935+0.00100908254842668j) (0.44642044354801935-0.001009082548426679j) (0.5+0j)
