# time rdo00 rdo01 rdo10 rdo11
4.134137333518211 (0.5+0j) (0.49989698381930525+4.708158496255283e-05j) (0.49989698381930525-4.7081584962552876e-05j) (0.5+0j)
8.268274667036422 (0.5+0j) (0.49958821129218617+9.410500877674114e-05j) (0.49958821129218617-9.410500877674118e-05j) (0.5+0j)
12.402412000554634 (0.5+0j) (0.4990744069015279+0.00014101234098701506j) (0.4990744069015279-0.00014101234098701557j) (0.5+0j)
16.536549334072845 (0.5+0j) (0.49835670622091066+0.00018774607893597383j) (0.49835670622091066-0.0001877460789359745j) (0.5+0j)
20.670686667591056 (0.5+0j) (0.49743665099825446+0.0002342493390337711j) (0.49743665099825446-0.00023424933903377145j) (0.5+0j)
24.804824001109267 (0.5+0j) (0.4963161826538093+0.00028046604435333025j) (0.4963161826538093-0.0002804660443533299j) (0.5+0j)
28.93896133462748 (0.5+0j) (0.4949976342358977+0.0003263411075346246j) (0.4949976342358977-0.0003263411075346237j) (0.5+0j)
33.07309866814569 (0.5+0j) (0.4934837208874843+0.000371820608021254j) (0.4934837208874843-0.0003718206080212511j) (0.5+0j)
37.2072360016639 (0.5+0j) (0.49177752888572784+0.0004168519627002543j) (0.49177752888572784-0.0004168519627002506j) (0.5+0j)
41.34137333518211 (0.5+0j) (0.489882503325255+0.00046138408907098427j) (0.489882503325255-0.00046138408907097977j) (0.5+0j)
45.47551066870032 (0.5+0j) (0.4878024345237459+0.0005053675601303608j) (0.4878024345237459-0.0005053675601303557j) (0.5+0j)
49.609648002218535 (0.5+0j) (0.4855414432356465+0.0005487547502290933j) (0.48554144323564546-0.0005487547502290878j) (0.5+0j)
53.743785335736746 (0.5+0j) (0.4831039647661555+0.0005914999712259983j) (0.4831039647661555-0.0005914999712259937j) (0.5+0j)
57.87792266925496 (0.5+0j) (0.48049473208330645+0.0006335595983443449j) (0.4804947320833058-0.0006335595983443437j) (0.5+0j)
62.01206000277317 (0.5+0j) (0.47771875803059755+0.0006748921852144607j) (0.4777187580305969-0.0006748921852144647j) (0.5+0j)
66.14619733629138 (0.5+0j) (0.4747813167465642+0.0007154585676699391j) (0.4747813167465629-0.0007154585676699426j) (0.5+0j)
70.28033466980959 (0.5+0j) (0.4716879244005483+0.0007552219559495251j) (0.47168792440054697-0.0007552219559495304j) (0.5+0j)
74.4144720033278 (0.5+0j) (0.4684443193560403+0.0007941480150427242j) (0.4684443193560397-0.0007941480150427294j) (0.5+0j)
78.54860933684601 (0.5+0j) (0.46505644187405293+0.0008322049330029263j) (0.465056441874053-0.0008322049330029359j) (0.5+0j)
82.68274667036422 (0.5+0j) (0.4615304134692733+0.0008693634771372346j) (0.46153041346927337-0.000869363477137244j) (0.5+0j)
